batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
805367,0.223,0.127,0.305,0.246,1057,0.255,0.222,0.218,chase meidroth,MLB
681082,0.223,0.166,0.26,0.239,811,0.197,0.252,0.245,bryson stott,MLB
670623,0.223,0.151,0.333,0.206,992,0.136,0.134,0.194,isaac paredes,MLB
677594,0.22,0.155,0.342,0.221,1007,0.257,0.219,0.205,julio rodríguez,MLB
700932,0.22,0.166,0.331,0.237,804,0.249,0.266,0.28,kyle manzardo,MLB
671739,0.22,0.24,0.22,0.227,751,0.427,0.319,0.273,michael harris,MLB
664702,0.22,0.194,0.319,0.195,387,0.238,0.283,0.296,myles straw,MLB
701675,0.219,0.221,0.225,0.218,643,0.241,0.214,0.229,nathan church,MLB
687859,0.216,0.182,0.269,0.169,736,0.213,0.235,0.205,troy johnston,MLB
665877,0.213,0.173,0.33,0.261,356,0.303,0.265,0.265,josé fermín,MLB
678489,0.213,0.17,0.297,0.257,502,0.253,0.254,0.261,jorge barrosa,MLB
688363,0.213,0.161,0.355,0.212,418,0.203,0.185,0.181,graham pauley,MLB
672820,0.211,0.154,0.265,0.177,484,0.171,0.196,0.22,lenyn sosa,MLB
680869,0.209,0.159,0.342,0.196,564,0.379,0.277,0.255,zack gelof,MLB
680757,0.208,0.117,0.365,0.178,1051,0.186,0.179,0.208,steven kwan,MLB
680776,0.206,0.146,0.322,0.221,908,0.308,0.255,0.203,jarren duran,MLB
691594,0.206,0.215,0.208,0.172,442,0.222,0.197,0.255,javier sanoja,MLB
657757,0.198,0.113,0.278,0.2,777,0.246,0.238,0.223,gavin sheets,MLB
663538,0.196,0.151,0.265,0.192,998,0.32,0.266,0.252,nico hoerner,MLB
701350,0.193,0.111,0.331,0.226,602,0.212,0.201,0.212,roman anthony,MLB
669364,0.19,0.123,0.365,0.217,978,0.238,0.173,0.21,xavier edwards,MLB
624428,0.185,0.127,0.241,0.152,426,0.181,0.162,0.198,adam frazier,MLB
